registration_no,book_no,book_label,district,office,deed_type,registration_date,presentation_date,consideration_amount,old_reg_no,year,has_scan,has_pdf,source
930440900003,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,,,,3,2009,True,False,render_gcs_ingest
930869800011,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,,,,,1998,True,True,render_gcs_ingest
931220900004,3,WILL,KORAPUT,UNKNOWN,OPEN WILL,,,,,2009,True,True,render_gcs_ingest
930550900044,3,WILL,GAJAPATI,PARALAKHEMUNDI,OPEN WILL,26-Aug-2009,26-Aug-2009,,44,2009,True,True,render_gcs_ingest
930610500089,3,WILL,UNKNOWN,BERHAMPUR-I,OPEN WILL,,,,89,2005,True,True,render_gcs_ingest
930370500025,3,WILL,BOUDH,BOUDH,OPEN WILL,08-Jun-2005,08-Jun-2005,,25,2005,True,True,render_gcs_ingest
930319500052,3,WILL,BOLANGIR,BALANGIR,OPEN WILL,14-Nov-1995,14-Nov-1995,,52,1995,True,True,render_gcs_ingest
940850200003,4,MISC,JAJPUR,MANGALPUR,ADOPTION,03-May-2002,03-May-2002,,3,2002,True,True,render_gcs_ingest
931370900069,3,WILL,NAYAGARH,NAYAGARH,OPEN WILL,23-Dec-2009,21-Dec-2009,,69,2009,True,True,render_gcs_ingest
930390200044,3,WILL,CUTTACK,CUTTACK,OPEN WILL,20-Jun-2002,20-Jun-2002,,44,2002,True,True,render_gcs_ingest
931629700074,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,,,,,1997,True,True,render_gcs_ingest
931000900019,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,01-Jun-2009,01-Jun-2009,,19,2009,True,True,render_gcs_ingest
930860600097,3,WILL,JHARSUGUDA,JHARSUGUDA,OPEN WILL,10-Nov-2006,,,97,2006,True,True,render_gcs_ingest
930390400035,3,WILL,CUTTACK,CUTTACK,OPEN WILL,02-Jun-2004,02-Jun-2004,,35,2004,True,True,render_gcs_ingest
940689500010,4,MISC,GANJAM,PURUSOTTAMPUR,ADOPTION,03-May-1995,26-Apr-1995,,10,1995,True,True,render_gcs_ingest
930619500045,3,WILL,GANJAM,BERHAMPUR-I,OPEN WILL,,29-Jun-1995,,45,1995,True,False,render_gcs_ingest
931370500063,3,WILL,NAYAGARH,NAYAGARH,OPEN WILL,05-Oct-2005,05-Oct-2005,,63,2005,True,True,render_gcs_ingest
930830400002,3,WILL,JAJPUR,MANSADA,OPEN WILL,,,,,2004,True,True,render_gcs_ingest
940399800085,4,MISC,CUTTACK,CUTTACK,ADOPTION,06-Mar-1998,06-Mar-1998,,85,1998,True,True,render_gcs_ingest
930610400055,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,,,,,2004,True,True,render_gcs_ingest
930310600018,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,,,,,,True,True,render_gcs_ingest
930319900024,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,,,,,1999,True,False,render_gcs_ingest
930930200006,3,WILL,KENDRAPARA,KENDRAPARA,OPEN WILL,17-Sep-2002,09-Sep-2002,,6,2002,True,True,render_gcs_ingest
931330500042,3,WILL,UNKNOWN,UNKNOWN,OPEN WILL,,,,,2005,True,True,render_gcs_ingest
